store,address,lat,lng
전북혁신도시점,전북특별자치도 완주군 이서면 출판로 46-5 (갈산리) 1층,35.8390641,127.0581796
월배삼정점,대구광역시 달서구 조암남로32길 40 (대천동) (대천동) 402동 1층 104호,35.8206866,128.5152945
전남담양점,전라남도 담양군 담양읍 죽향대로 1176,35.3107123,126.9816982
부평신일해피트리점,"인천광역시 부평구 원적로 295 (산곡동) 1층 111,112호",37.5048411,126.6991787
동탄역점,"경기도 화성시 동탄역로 150 (오산동) B112, 113호",37.1992829,127.0973562
해운대수비교차로점,"부산광역시 해운대구 해운대로 407 (우동,신세계프라자) 1층",35.1678259,129.1406828
여수쌍봉점,전라남도 여수시 쌍봉로 27-2 (학동) 1층,34.7667931,127.6590936
오산법원점,"경기도 오산시 궐리사로 64 (궐동,구꿈) 1층",37.1589019,127.0592813
대구신평리점,대구 서구 당산로 446 321동 2층 201호,35.8758639,128.5485040
통영한진로즈힐점,"경상남도 통영시 무전1길 16 (무전동,씨티빌딩) 1층",34.8612745,128.4222395
김해삼계가야점,경상남도 김해시 가야로38번길 4 (삼계동) 1층,35.2695025,128.8644254
평촌킴스점,"경기도 안양시 동안구 동안로 119 (호계동,킴스아울렛) 킴스클럽지하1층 (호계동)",37.3892104,126.9512232
인천시청점,인천광역시 남동구 구월로 81 (간석동) 1층,37.4572426,126.6995732
평촌킴스점,"경기도 안양시 동안구 동안로 119 (호계동,킴스아울렛) 킴스클럽지하1층 (호계동)",37.3892104,126.9512232
인천시청점,인천광역시 남동구 구월로 81 (간석동) 1층,37.4572426,126.6995732
반정아이파크캐슬점,"경기도 동탄지성로469번길 60 5단지 상가1동107호,108호,109호",37.2378000,127.0430185
군자역점,서울특별시 광진구 능동로 302,37.5565975,127.0795562
브레드텍인천점,"인천광역시 부평구 육동로 36 (부평동,오상자이엘빌딩) 2층",37.4885661,126.7257302
도봉구청점,"서울특별시 도봉구 마들로 657 (방학동,이에스에이아파트) 1층",37.6686013,127.0454750
수원역점,경기 수원시 팔달구 덕영대로 924 수원역,37.2656769,127.0000960
남양주호평효성점,경기도 남양주시 늘을1로 286 (호평동) 1층,37.6555960,127.2549564
경북청도점,경상북도 청도군 청도읍 청화로 139 (고수리) 1층,35.6449284,128.7415825
브레드텍점,"경기도 군포시 엘에스로 153-18 (산본동,L&C타워) 401호",37.3739598,126.9444997
충암점,서울특별시 서대문구 가좌로 141 (홍은동) 1층,37.5845093,126.9236236
해남군청점,전라남도 해남군 해남읍 군청길 13 (성내리),34.5729792,126.5984416
하나로클럽대전점,대전광역시 중구 대둔산로 199번길 43,36.2885908,127.3784461
서귀포동홍점,제주특별자치도 서귀포시 동홍중앙로 84 (동홍동) 1층,33.2580811,126.5722255
용인한숲시티점,"경기도 용인시 처인구 남사면 한숲로 123 (완장리,e편한세상용인한숲시티) 3BL 103,104호",37.1590779,127.1731579
용인양지점,"경기도 용인시 처인구 양지면 양지로 145 (양지리,밝은미소치과) 1층",37.2347432,127.2844706
양산신도시점,경상남도 양산시 양주로 94 양산신도시 청어람아파트 상가 1층,35.3330283,129.0332438
전주신일강변점,전북특별자치도 전주시 완산구 효자천변1길  28-0  (효자동1가),35.8002489,127.1141199
청주시청점,충북 청주시 상당구 중앙로 80 1층,36.6443561,127.4889239
마포홍대점,"서울시마포구 홍익로 10 서교푸르지오 상가동 105호, 146",37.5538000,126.9237000
영등포시장역점,"서울특별시 영등포구 국회대로50길 20 (영등포동7가,포레나영등포센트럴) 상가동 114호",37.5236016,126.9056745
남원하나로마트점,전북특별자치도 남원시 동문로 94,35.4139144,127.3865131
김포타운힐스점,"경기도 김포시 김포한강11로255번길 15 (운양동,김포한강이랜드타운힐스) 105호",37.6548241,126.6764006
봉담와우점,경기도 화성시 봉담읍 와우로 20 (와우리) 미래프라자 102~103,37.2152650,126.9690813
아산북수점,충청남도 아산시 배방읍 북수로 102,36.7736050,127.0719926
대구상인역점,대구광역시 달서구 월배로 220 (상인동) 1층,35.8185780,128.5375380
송도그린워크점,"인천광역시 연수구 아트센터대로97번길 30 (송도동,더샵그린워크1차) 1층",37.3989808,126.6414860
여수무선점,전라남도 여수시 무선중앙로 25 (화장동),34.7749369,127.6481962
강릉합동마트점,강원특별자치도 강릉시 경강로2224번길 12-1 (포남동) 1층,37.7608911,128.9069365
CJ푸드빌라운지점,"서울특별시 중구 마른내로 34 (초동,(주)케이티앤지을지로타워) 3층",37.5642426,126.9917013
부산당감점,부산광역시 부산진구 당감서로98번길 30 (부암동) 1층,35.1697382,129.0357901
제물포역점,인천광역시 미추홀구 수봉로 1 (숭의동) 1층,37.4659596,126.6564776
서산예천점,충남 서산시 예천7로 4-12(예천동) 1층,36.7672016,126.4474467
진량농협하나로마트점,경상북도 경산시 진량읍 공단11로 257-10 진량농협하나로마트 1층,35.8787841,128.8394816
통영무전점,"경상남도 통영시 무전8길 13-38 (무전동,진우하이빌 1차) 103호(무전동,진우하이빌",34.8580697,128.4278425
매교힐스테이트점,경기도 수원시 팔달구 효원로93번길 33 (매교동) 힐스테이트푸르지오수원 상가,37.2682663,127.0122722
제주애월점,제주특별자치도 제주시 애월읍 애월로 119 (애월리) 119,33.4646428,126.3201185
군산터미널점,"전북특별자치도 군산시 해망로 25 (대명동,일미회관) 1층",35.9777488,126.7239119
청주내덕중앙로점,충청북도 청주시 청원구 중앙로 209 1층,36.6558902,127.4877833
천안성성신도시점,충청남도 천안시 서북구 성성6로 51 (성성동) 1층,36.8417527,127.1254968
수인파트너스(발산)점,"서울특별시 강서구 강서로52길 50 (내발산동,대성빌딩) 대성빌딩 6층",37.5574775,126.8408995
수인파트너스점,"경기도 성남시 중원구 성남대로 1139 (성남동,한일타워) 11층 1101호(한일타워)",37.4314060,127.1287388
세종보람점,"세종특별자치시  남세종로 462 (보람동,위너스타워) 1층",36.4768834,127.2888411
인천향촌점,"인천광역시 남동구 만수서로 52 (만수동,쓰리제이프라자) 1층",37.4614552,126.7317473
함안칠원점,경상남도 함안군 칠원읍 용산2길 67 (용산리) 1층,35.3096398,128.5148999
양산사송점,경상남도 양산시 동면 내송큰들1길 29 1-2층 일부,35.3193682,129.0669801
파주운정가람점,경기도 파주시 가람로 47,37.7344118,126.7553295
동선브라운스톤점,"서울특별시 성북구 아리랑로5길 25 (동소문동7가,브라운스톤 동선아파트) 상가 1층",37.5963300,127.0138004
송도아트윈점,"인천광역시 연수구 인천타워대로 253-25 (송도동,아트윈푸르지오) 1츨",37.3924938,126.6317143
수원천천푸르지오점,경기도 수원시 장안구 정자천로13번길 15 (천천동) 1층,37.2894592,126.9786054
포항법원대로점,경상북도 포항시 북구 신덕로 262(양덕동) 1층,36.0881748,129.3877922
양주광적점,경기도 양주시 광적면 가래비12길 2 (가납리) 1층,37.8256250,126.9841259
진주이현웰가점,"경상남도 진주시 진주대로 1319 (이현동,이현하이클래스웰가) 103~104호",35.1942109,128.0593100
양주옥정고점,"경기도 양주시 옥정로7길 9-5 옥정동) 케이타워 108, 109호",37.8278737,127.0912871
시흥은계로데오점,"경기도 시흥시 은계번영길 1 (은행동,태산W타워) 114,115호",37.4366407,126.8016279
제천하소로점,충청북도 제천시 하소로 42 (하소동) 1층,37.1400317,128.1991134
부산용호메트로점,"부산광역시 남구 분포로 61 빌리브센트로 A동 1층 A140, A141호 (용호동)",35.1312916,129.1119057
남춘천점,강원특별자치도 춘천시 행촌로 27 (퇴계동) 1층,37.8593884,127.7239046
부산다대점,부산광역시 사하구 다대로 582 (다대동) 1층,35.0545878,128.9703820
종로점,"서울특별시 종로구 종로 62 (종로2가) 1층, 2층",37.5699434,126.9842995
행신무원점,"경기도 고양시 덕양구 화신로 33 (행신동, 무원마을2단지아파트)",37.6161521,126.8378587
매일산업강원점,"강원특별자치도 원주시 봉화로 22 (단계동,더파크타워) 5층 501호",37.3462366,127.9287950
매일산업화정점,"경기도 고양시 덕양구 화중로104번길 26 (화정동,한솔타워) 3층 302호, 303호",37.6357778,126.8325480
대구내당점,대구광역시 서구 달구벌대로361길 1 (내당동) 대구 N타워 1층,35.8597008,128.5616659
강서증미역점,"서울특별시 강서구 양천로 570 (등촌동) NH농협타워 1층, 110호",37.5567284,126.8620105
암사라인점,"서울특별시 강동구 고덕로 53 (암사동,라인아파트) 1층",37.5549824,127.1311515
마산마린애시앙점,"경상남도 창원시 마산합포구 가포로 88 (월영동,삼공운수) 1층",35.1763096,128.5629459
숙대입구점,"서울특별시 용산구 청파로 285 (청파동2가) 1층,2층",37.5451010,126.9702829
간석역점,"인천광역시 미추홀구 주안로 226 (주안동,더월드스테이트) 1층 114,114-1호",37.4629017,126.6953334
